timestamp,SYSp,AYSp,SOSp,AOSp,RASp,RSSp,AReSp,SReSp,SYLp,AYLp,SOLp,AOLp,RALp,RSLp,AReLp,SReLp,Op,sum
3016.0,0.11769461258051453,0.04716912802138359,0.05557894875266671,0.022231800402769585,4.574585995942821E-6,2.4019627992676544E-4,3.7786852581311423E-6,9.446625410152403E-6,0.003324057096299429,0.0013296796166825109,0.0015666512842518836,6.26662244572074E-4,5.979713007227498E-9,1.6122259572452978E-7,1.0651225778749987E-7,2.6627991641258005E-7,0.7502199238297872,1.0000000000000016
3017.0,0.11762922968942627,0.04714292415266568,0.05556361671675344,0.022225667465611606,4.572044477723917E-6,2.400628383942793E-4,3.7776432389928526E-6,9.44402041107789E-6,0.0033222104826653755,0.001328940939685459,0.001566219097105691,6.26489368751079E-4,5.976390712544176E-9,1.6113302471173288E-7,1.0648288525496712E-7,2.6620648548611587E-7,0.7503363057420286,1.0000000000000016
3018.0,0.11756388575632533,0.04711673589736055,0.05554828331507538,0.02221953398222093,4.569504473986771E-6,2.399294763756688E-4,3.7766011265278727E-6,9.44141517865757E-6,0.0033203649693245986,0.0013282027028245138,0.0015657868714741823,6.263164775365316E-4,5.973070397689203E-9,1.6104350707400731E-7,1.0645351009236128E-7,2.661330479842275E-7,0.7504526334275691,1.0000000000000016
3019.0,0.11749858075621808,0.04709056324545135,0.055532948555123335,0.022213399955593828,4.56696598375968E-6,2.3979619381991936E-4,3.7755589212459456E-6,9.438809714165819E-6,0.0033185205555712016,0.0013274649058173044,0.0015653546075684946,6.261435710128864E-4,5.96975206139225E-9,1.6095404277710714E-7,1.0642413231405025E-7,2.660596039428348E-7,0.7505689069116748,1.0000000000000013
3020.0,0.11743331466412807,0.04706440618692812,0.05551761244437909,0.022207265388722967,4.564429006071605E-6,2.396629906760513E-4,3.7745166236561993E-6,9.436204018875476E-6,0.0033166772406997723,0.0013267275483816539,0.001564922305599511,6.259706492644962E-4,5.96643570238386E-9,1.6086463178680995E-7,1.0639475193438459E-7,2.6598615339781425E-7,0.7506851262196003,1.0000000000000013
3021.0,0.11736808745509597,0.04703826471178778,0.05550227499031543,0.022201130284597418,4.561893539952175E-6,2.3952986689312008E-4,3.7734742342671515E-6,9.433598094057854E-6,0.0033148350240053827,0.0013259906302355792,0.001564489965777861,6.257977123756126E-4,5.963121319395449E-9,1.607752740689168E-7,1.0636536896769765E-7,2.659126963849995E-7,0.7508012913765882,1.0000000000000013
3022.0,0.11730289910417958,0.04701213881003409,0.055486936200396145,0.022194994646202643,4.559359584431685E-6,2.3939682242021595E-4,3.772431753586707E-6,9.430991940982734E-6,0.0033129939047835885,0.0013252541510972904,0.0015640575883139201,6.256247604303853E-4,5.9598089111593E-9,1.6068596958925221E-7,1.0633598342830549E-7,2.658392329401808E-7,0.7509174024078696,1.0000000000000013
3023.0,0.11723774958645383,0.046986028471677696,0.05547159608207603,0.02218885847652052,4.556827138541094E-6,2.3926385720646423E-4,3.77138918212216E-6,9.428385560918367E-6,0.0033111538823304295,0.0013245181106851913,0.0015636251734178113,6.254517935128631E-4,5.9564984764085705E-9,1.6059671831366424E-7,1.0630659533050695E-7,2.657657630991054E-7,0.7510334593386637,1.0000000000000013
3024.0,0.11717263887701077,0.046959933686736094,0.05545625464280092,0.022182721778529334,4.554296201312028E-6,2.3913097120102512E-4,3.7703465203801923E-6,9.42577895513148E-6,0.0033093149559424275,0.0013237825087178787,0.0015631927212994038,6.252788117069934E-4,5.953190013877285E-9,1.6050752020802428E-7,1.0627720468858366E-7,2.656922868974776E-7,0.7511494621941779,1.0000000000000013
3025.0,0.1171075669509595,0.046933854445233625,0.05544091189000767,0.022176584555203778,4.551766771776777E-6,2.3899816435309377E-4,3.7693037688668774E-6,9.423172124887275E-6,0.003307477124916588,0.0013230473449141428,0.0015627602321683146,6.251058150966227E-4,5.9498835223003364E-9,1.6041837523822718E-7,1.0624781151680007E-7,2.656188043709586E-7,0.7512654109996079,1.0000000000000013
3026.0,0.11704253378342624,0.04690779073720147,0.05542556783112417,0.022170446809514965,4.549238848968294E-6,2.388654366119001E-4,3.768260928087678E-6,9.420565071449426E-6,0.0033056403885503988,0.0013223126189929667,0.0015623277062339078,6.249328037654961E-4,5.946579000413489E-9,1.6032928337019122E-7,1.062184158294034E-7,2.6554531555516656E-7,0.7513813057801376,1.0000000000000013
3027.0,0.11697753934955428,0.04688174255267767,0.05541022247356938,0.02216430854443043,4.546712431920198E-6,2.3873278792670892E-4,3.767217998547449E-6,9.417957796080088E-6,0.0033038047461418293,0.0013215783306735262,0.0015618951437052955,6.247597777972581E-4,5.943276446953371E-9,1.6024024456985806E-7,1.0618901764062376E-7,2.65471820485677E-7,0.7514971465609394,1.0000000000000016
3028.0,0.11691258362450395,0.04685570988170709,0.0553948758247533,0.022158169762914123,4.5441875196667706E-6,2.3860021824681987E-4,3.7661749807504347E-6,9.415350300039893E-6,0.0033019701969893315,0.00132084447967519,0.0015614625447913373,6.245867372754524E-4,5.9399758606574805E-9,1.6015125880319272E-7,1.0615961696467407E-7,2.6539831919802235E-7,0.7516129333671735,1.0000000000000013
3029.0,0.11684766658345264,0.04682969271434143,0.05537952789207699,0.02215203046792643,4.5416641112429545E-6,2.3846772752156734E-4,3.765131875200275E-6,9.412742584587956E-6,0.003300136740391838,0.0013201110657175194,0.0015610299097006414,6.244136822835217E-4,5.93667724026418E-9,1.6006232603618362E-7,1.0613021381575014E-7,2.653248117276923E-7,0.7517286662239889,1.0000000000000013
3030.0,0.11678278820159474,0.04680369104063921,0.05536417868293261,0.02214589066242416,4.539142205684355E-6,2.3833531570032054E-4,3.7640886823999994E-6,9.410134650981872E-6,0.0032983043756487627,0.001319378088520268,0.0015605972386415643,6.242406129048082E-4,5.933380584512701E-9,1.5997344623484245E-7,1.0610080820803067E-7,2.6525129811013373E-7,0.7518443451565227,1.0000000000000013
3031.0,0.11671794845414171,0.04677770485066578,0.05534882820470338,0.022139750349360558,4.5366218020272414E-6,2.382029827324834E-4,3.7630454028520325E-6,9.40752650047772E-6,0.0032964731020600005,0.0013186455478033814,0.0015601645318222112,6.240675292225537E-4,5.930085892143137E-9,1.598846193652043E-7,1.0607140015567722E-7,2.651777783807507E-7,0.7519599701899001,1.0000000000000013
3032.0,0.11665314731632198,0.046751734134493295,0.05533347646476362,0.022133609531685305,4.534102899308543E-6,2.3807072856749459E-4,3.7620020370581927E-6,9.404918134330065E-6,0.003294642918925926,0.001317913443286998,0.001559731789450436,6.238944313198993E-4,5.9267931618964455E-9,1.5979584539332748E-7,1.0604198967283434E-7,2.6510425257490474E-7,0.7520755413492348,1.0000000000000013
3033.0,0.11658838476338099,0.04672577888220073,0.05531812347047876,0.022127468212344525,4.531585496565848E-6,2.3793855315482737E-4,3.7609585855196925E-6,9.402309553791956E-6,0.003292813825547395,0.0013171817746914477,0.0015592990117338416,6.237213192798861E-4,5.923502392514451E-9,1.5970712428529368E-7,1.0601257677362945E-7,2.6503072072791455E-7,0.7521910586596288,1.000000000000001
3034.0,0.11652366077058116,0.04669983908387387,0.055302769229205316,0.022121326394280782,4.5290695928374075E-6,2.3780645644398975E-4,3.759915048737139E-6,9.399700760114928E-6,0.003290985821225742,0.0013164505417372525,0.001558866198879781,6.235481931854546E-4,5.9202135827398406E-9,1.5961845600720778E-7,1.0598316147217294E-7,2.649571828750562E-7,0.7523065221461722,1.000000000000001
3035.0,0.11645897531320187,0.0466739147296053,0.055287413748290944,0.022115184080433087,4.526555187162131E-6,2.376744383845244E-4,3.7588714272105367E-6,9.397091754549013E-6,0.003289158905262781,0.001315719744145126,0.0015584333510953563,6.233750531194454E-4,5.9169267313161604E-9,1.59529840525198E-7,1.0595374378255814E-7,2.6488363905156333E-7,0.7524219318339438,1.000000000000001
3036.0,0.1163943283665395,0.04664800580949438,0.055272057035074415,0.022109041273736904,4.524042278579588E-6,2.3754249892600856E-4,3.7578277214392848E-6,9.394482538342727E-6,0.0032873330769608044,0.0013149893816359738,0.0015580004685874194,6.232018991645989E-4,5.913641836987824E-9,1.5944127780541568E-7,1.0592432371886143E-7,2.6481008929262686E-7,0.7525372877480102,1.0000000000000013
3037.0,0.11632971990590732,0.046622112313647296,0.05525669909688563,0.02210289797712415,4.5215308661300075E-6,2.3741063801805407E-4,3.7567839319221796E-6,9.391873112743079E-6,0.0032855083356225843,0.0013142594539308924,0.0015575675515625727,6.230287314035556E-4,5.910358898500101E-9,1.593527678140355E-7,1.0589490129514211E-7,2.6473653363339535E-7,0.7526525899134268,1.0000000000000013
3038.0,0.11626514990663557,0.046596234232177,0.055241339941045645,0.022096754193523194,4.519020948854275E-6,2.3727885561030735E-4,3.7557400591574148E-6,9.389263478995572E-6,0.0032836846805513707,0.0013135299607511697,0.0015571346002271687,6.228555499188563E-4,5.907077914599126E-9,1.5926431051725528E-7,1.0586547652544256E-7,2.6466297210897484E-7,0.7527678383552369,1.0000000000000013
3039.0,0.1162006183440714,0.04657037155520323,0.055225979574866656,0.022090609925858873,4.516512525793935E-6,2.3714715165244936E-4,3.754696103642583E-6,9.386653638344206E-6,0.003281862111050891,0.001312800901818285,0.0015567016147873104,6.226823547929417E-4,5.903798884031892E-9,1.5917590588129603E-7,1.0583604942378817E-7,2.6458940475442887E-7,0.7528830330984725,1.0000000000000013
3040.0,0.11613612519357888,0.0465445242728525,0.05521061800565203,0.022084465177052485,4.5140055959911916E-6,2.3701552609419553E-4,3.753652065874675E-6,9.384043592031472E-6,0.003280040626425351,0.0013120722768539088,0.0015562685954488519,6.225091461081532E-4,5.900521805546252E-9,1.59087553872402E-7,1.0580662000418736E-7,2.645158316047788E-7,0.7529981741681537,1.000000000000001
3041.0,0.11607167043053897,0.0465186923752581,0.055195255240696295,0.022078319950021796,4.511500158488902E-6,2.3688397888529586E-4,3.7526079463500792E-6,9.381433341298368E-6,0.0032782202259794327,0.001311344085579902,0.001555835542417398,6.223359239467323E-4,5.897246677890918E-9,1.5899925445684047E-7,1.0577718828063164E-7,2.6444225269500347E-7,0.7531132615892892,1.0000000000000013
3042.0,0.1160072540303495,0.04649287585256009,0.055179891287285156,0.022072174247681046,4.508996212330582E-6,2.3675250997553477E-4,3.7515637455645863E-6,9.378822887384385E-6,0.003276400909018296,0.0013106163277183166,0.0015554024558983054,6.221626883908212E-4,5.89397349981546E-9,1.5891100760090197E-7,1.0574775426709557E-7,2.6436866806003946E-7,0.7532282953868755,1.0000000000000013
3043.0,0.1159428759684252,0.04646707469490527,0.05516452615269551,0.02206602807294094,4.5064937565604035E-6,2.3662111931473107E-4,3.750519464013386E-6,9.376212231527513E-6,0.0032745826748475765,0.001309889002991395,0.0015549693360966817,6.219894395224627E-4,5.890702270070305E-9,1.588228132709001E-7,1.0571831797753685E-7,2.6429507773478106E-7,0.7533432755858982,1.0000000000000013
