timestamp,SY,AY,SO,AO,RA,RS,ARe,SRe,sum,RA+RS,RA+Are
63,0.259250419,0.605755797,0.03988374,0.093074426,0.001154284,8.59E-04,1.55E-05,6.65E-06,1,0.002013479,0.001169777
64,0.257556064,0.60549722,0.040431502,0.0943519,1.35E-04,0.002005701,1.57E-05,6.73E-06,1,0.002140871,0.000150881
65,0.256891952,0.604335258,0.040976367,0.09562316,2.57E-05,0.002124858,1.59E-05,6.82E-06,1,0.002150518,4.15825E-05
66,0.256568143,0.60288072,0.041518461,0.096888137,2.15E-04,0.001906482,1.61E-05,6.91E-06,1,0.002121492,0.000231144
67,0.255641764,0.601968353,0.042057955,0.098146722,-1.31E-04,0.002293278,1.63E-05,7.00E-06,1,0.002161858,-0.000115075
68,0.255883119,0.600030741,0.042594569,0.09939921,5.53E-04,0.001515216,1.66E-05,7.10E-06,1,0.002068715,0.000570049
69,0.255158625,0.598956851,0.043128669,0.100645315,3.81E-04,0.001705522,1.68E-05,7.18E-06,1,0.002086597,0.000397834
70,0.254849192,0.597524025,0.04366004,0.101885274,5.74E-04,0.001483494,1.70E-05,7.27E-06,1,0.002057232,0.000590702
71,0.254076325,0.596510011,0.044188841,0.103118986,3.54E-04,0.001727474,1.72E-05,7.36E-06,1,0.002081305,0.000371003
72,0.253489301,0.595339918,0.044714978,0.10434658,2.96E-04,0.001788274,1.74E-05,7.45E-06,1,0.0020844,0.000313502
73,0.252787517,0.594279848,0.045238512,0.10556804,1.35E-04,0.001966437,1.76E-05,7.53E-06,1,0.002100967,0.000152111
74,0.252198674,0.59312816,0.045759421,0.106783432,7.06E-05,0.002034284,1.78E-05,7.62E-06,1,0.002104908,8.84078E-05
75,0.251647391,0.591951553,0.046277729,0.107992774,3.77E-05,0.002067173,1.80E-05,7.71E-06,1,0.002104861,5.56733E-05
76,0.251277318,0.5906228,0.046793425,0.109196117,1.63E-04,0.001921463,1.82E-05,7.79E-06,1,0.00208436,0.000181082
77,0.250539668,0.589627741,0.047306614,0.110393412,-3.95E-05,0.002145841,1.84E-05,7.88E-06,1,0.002106301,-2.1153E-05
78,0.250447647,0.588069272,0.047817139,0.111584836,3.27E-04,0.001727248,1.86E-05,7.97E-06,1,0.002054557,0.000345892
79,0.2496437,0.587149291,0.048325239,0.11277022,6.17E-05,0.002023012,1.88E-05,8.05E-06,1,0.002084719,8.04888E-05
80,0.249199007,0.585919366,0.048830749,0.113949751,1.12E-04,0.001962111,1.90E-05,8.13E-06,1,0.002074015,0.000130883
81,0.248742699,0.584707814,0.049333743,0.115123404,1.50E-04,0.001915341,1.92E-05,8.22E-06,1,0.002064949,0.000168782
82,0.24807704,0.583689662,0.049834267,0.116291178,-2.10E-07,0.002080393,1.94E-05,8.30E-06,1,0.002080183,1.91591E-05
83,0.24785856,0.582283601,0.050332223,0.117453201,2.44E-04,0.001800833,1.96E-05,8.38E-06,1,0.002044469,0.000263198
84,0.246948428,0.581497875,0.050827813,0.118609333,-1.27E-04,0.002215294,1.98E-05,8.46E-06,1,0.00208833,-0.000107208
85,0.246663523,0.580166521,0.051320832,0.119759796,5.37E-05,0.002007097,1.99E-05,8.55E-06,1,0.002060833,7.36831E-05
86,0.246278716,0.578931507,0.051811411,0.120904513,1.44E-04,0.001901243,2.01E-05,8.63E-06,1,0.002045085,0.00016398
87,0.245653032,0.577917606,0.052299587,0.122043492,1.86E-05,0.00203867,2.03E-05,8.71E-06,1,0.002057244,3.89015E-05
88,0.2453981,0.576583265,0.052785269,0.123176851,2.19E-04,0.001807838,2.05E-05,8.79E-06,1,0.002027206,0.000239884
89,0.24450461,0.575822055,0.053268638,0.124304469,-1.47E-04,0.00221788,2.07E-05,8.87E-06,1,0.00207065,-0.000126524
90,0.244315684,0.574444779,0.053749483,0.125426573,1.08E-04,0.00192588,2.09E-05,8.95E-06,1,0.002033636,0.000128648
91,0.243929578,0.573249774,0.054227966,0.126543058,1.86E-04,0.001833423,2.11E-05,9.03E-06,1,0.002019513,0.000207168
92,0.243181647,0.572382774,0.054704125,0.127653927,-5.80E-05,0.002105117,2.13E-05,9.11E-06,1,0.002047151,-3.67013E-05
93,0.243135144,0.57090237,0.055177796,0.128759365,3.17E-04,0.001677868,2.14E-05,9.19E-06,1,0.001994686,0.000338265
94,0.242201816,0.570214714,0.055649255,0.129859165,-9.55E-05,0.002139661,2.16E-05,9.27E-06,1,0.00204415,-7.38786E-05
95,0.242051174,0.568841633,0.056118236,0.130953601,1.83E-04,0.001821242,2.18E-05,9.35E-06,1,0.002004195,0.000204766
96,0.241310894,0.567998104,0.056584978,0.132042497,-6.26E-05,0.002094703,2.20E-05,9.42E-06,1,0.002032105,-4.06017E-05
97,0.241270088,0.566542751,0.05704928,0.133126072,3.09E-04,0.001671128,2.22E-05,9.50E-06,1,0.00198013,0.000331177
98,0.240696633,0.565566418,0.057511357,0.13420417,2.07E-04,0.001782429,2.24E-05,9.58E-06,1,0.001989486,0.000229412
99,0.23985716,0.564833003,0.057971177,0.135276857,-1.32E-04,0.002162007,2.25E-05,9.66E-06,1,0.002029611,-0.00010986
100,0.238946711,0.564169784,0.058428718,0.13634419,-5.37E-04,0.00261484,2.27E-05,9.73E-06,1,0.002078151,-0.000513974
101,0.23902835,0.562635522,0.058883817,0.13740635,-6.48E-05,0.002078025,2.29E-05,9.81E-06,1,0.002013263,-4.1872E-05
102,0.238997195,0.561208406,0.059336667,0.138463203,3.05E-04,0.001656252,2.31E-05,9.89E-06,1,0.001961579,0.000328391
103,0.238169784,0.560493517,0.059787393,0.139514674,-3.14E-05,0.002032864,2.32E-05,9.96E-06,1,0.002001431,-8.19094E-06
104,0.237912071,0.559281447,0.06023578,0.140560989,1.34E-04,0.001842114,2.34E-05,1.00E-05,1,0.001976263,0.000157564
105,0.237367876,0.558330195,0.060681981,0.14160205,4.42E-05,0.001940035,2.36E-05,1.01E-05,1,0.001984202,6.77555E-05
106,0.236999782,0.557230166,0.06112593,0.14263795,1.08E-04,0.001864106,2.38E-05,1.02E-05,1,0.001972228,0.000131884
107,0.236593217,0.556171303,0.061567674,0.143668683,1.36E-04,0.001828853,2.39E-05,1.03E-05,1,0.001964933,0.000160014
108,0.236041069,0.555248402,0.062007242,0.14469426,3.32E-05,0.00194136,2.41E-05,1.03E-05,1,0.001974593,5.73376E-05
109,0.235741428,0.554108972,0.062444579,0.145714764,1.52E-04,0.00180359,2.43E-05,1.04E-05,1,0.001955579,0.000176263
110,0.235104492,0.553275171,0.062879793,0.146730135,-2.98E-05,0.00200524,2.44E-05,1.05E-05,1,0.00197549,-5.30625E-06
111,0.234881689,0.552081673,0.063312771,0.147740508,1.53E-04,0.001794992,2.46E-05,1.05E-05,1,0.0019482,0.000177819
112,0.234241899,0.551264291,0.063743661,0.148745786,-3.49E-05,0.002003821,2.48E-05,1.06E-05,1,0.001968965,-1.00764E-05
113,0.234202562,0.54992218,0.064172306,0.149746143,3.07E-04,0.00161444,2.49E-05,1.07E-05,1,0.001921172,0.000331677
114,0.233578562,0.549104571,0.064598912,0.150741431,1.29E-04,0.001811764,2.51E-05,1.08E-05,1,0.00194065,0.000153998
115,0.233077646,0.548184813,0.065023373,0.151731779,5.81E-05,0.001888149,2.53E-05,1.08E-05,1,0.00194628,8.34089E-05
116,0.232692778,0.5471691,0.065445701,0.152717209,8.82E-05,0.001850618,2.54E-05,1.09E-05,1,0.001938867,0.000113691
117,0.233105324,0.54545414,0.065865793,0.153697848,8.22E-04,0.001017907,2.56E-05,1.10E-05,1,0.001840318,0.000848013
118,0.23198325,0.545104608,0.066284046,0.154673375,1.96E-04,0.00172166,2.58E-05,1.10E-05,1,0.00191791,0.000222017
119,0.231338604,0.544339068,0.066700137,0.155644112,-9.11E-06,0.001950147,2.59E-05,1.11E-05,1,0.001941038,1.68207E-05
120,0.231203991,0.543128616,0.067114072,0.156610087,2.35E-04,0.001670756,2.61E-05,1.12E-05,1,0.001905962,0.000261296
121,0.230373758,0.542540669,0.067526059,0.157571148,-1.38E-04,0.002088934,2.63E-05,1.12E-05,1,0.001950864,-0.000111817
122,0.230553048,0.541065512,0.067935828,0.15852757,3.81E-04,0.001499804,2.64E-05,1.13E-05,1,0.001880313,0.000406918
123,0.230465223,0.53983341,0.068343599,0.159479187,6.61E-04,0.001179789,2.66E-05,1.14E-05,1,0.001840626,0.000687403
124,0.229607717,0.539289284,0.068749467,0.16042595,2.58E-04,0.001631362,2.67E-05,1.15E-05,1,0.001889402,0.000284766
125,0.22884829,0.538664815,0.069153297,0.16136801,-5.97E-05,0.001986893,2.69E-05,1.15E-05,1,0.001927183,-3.28255E-05
126,0.228874503,0.537351225,0.069554986,0.162305493,3.16E-04,0.001558922,2.70E-05,1.16E-05,1,0.001875165,0.000343283
127,0.228134908,0.536722087,0.0699548,0.163238192,1.25E-05,0.001898638,2.72E-05,1.17E-05,1,0.001911163,3.97213E-05
128,0.227965825,0.53559423,0.070352529,0.164166328,2.12E-04,0.001669924,2.74E-05,1.17E-05,1,0.001882016,0.000239442
